,Date,Username,Tweet,LikeCount
68,2022-04-14 20:00:02+00:00,NASA,"Media accreditation is now open for NASA's Boeing Orbital Flight Test-2 mission to the @Space_Station. The uncrewed @BoeingSpace #Starliner spacecraft is scheduled to launch on Thurs., May 19 aboard a @ULALaunch Atlas V rocket: https://t.co/rJLro2XQ0Y https://t.co/qL9PXaDhHR",1831
69,2022-04-14 19:57:09+00:00,YahooFinance,.@ETFtrends' @DaveNadig breaks down the top takeaways from Miami’s Exchange ETF conference: https://t.co/yMQgNuZWIp,7
70,2022-04-14 19:45:30+00:00,YahooFinance,"“Regulators in other jurisdictions like Canada… [are] at far advance,” Shark Tank Investor @kevinolearytv says on crypto regulation. “Our government understands now that we’ve got to catch up quickly.” https://t.co/hsD05boeIv",12
71,2022-04-14 19:41:48+00:00,NASA,"Think small - it's #WorldQuantumDay! Scientists, educators, students and our own @Astro_Pam contributed to this introduction to quantum science and technologies that benefit life on Earth. 

This is quantum: https://t.co/TLeG6dALrl",1908
72,2022-04-14 19:24:36+00:00,YahooFinance,Taxes 2022: What to know ahead of the tax deadline https://t.co/cVGcbdzu8N by @WritesRonda https://t.co/Mviqls4By5,7
73,2022-04-14 19:20:32+00:00,YahooFinance,"“There’s a lot of fear and anticipation as we’re moving into this period of higher interest rates,” Portia Capital Management owner and CFA Michelle Connell says. “We’re just not quite sure how much the Fed’s going to dial those up. … There’s a lot of uncertainty.” https://t.co/pwo3j0dWc1",6
74,2022-04-14 19:18:00+00:00,YahooFinance,VinFast’s electric-vehicle pricing strategy revealed at NY Auto Show https://t.co/zZHuRfPRJs by @Pras_S https://t.co/WXfpHdkGWw,13
75,2022-04-14 19:14:47+00:00,YahooFinance,Analyst on Musk's Twitter offer: ‘No board in America is going to take that number’ https://t.co/G3CvqTWBAA by @AkikoFujita https://t.co/GUE8md4eZ3,12
76,2022-04-14 19:12:31+00:00,YahooFinance,"“I don’t think it’ll be accepted,"" @BernsteinPWM Senior Analyst Mark Shmulik says on Elon Musk's bid to buy Twitter. “Do I think it should be accepted? The answer is yes.” https://t.co/XPYWdzUOr6",10
77,2022-04-14 18:56:35+00:00,YahooFinance,"Yahoo Finance’s @Pras_S joins @narrative_io CEO @nick_jordan at the New York International Auto Show to discuss how auto companies are utilizing data collection.
Watch: https://t.co/s3PmDg5hbe https://t.co/WZQ1w0hsEW",6
78,2022-04-14 18:48:13+00:00,YahooFinance,Elon Musk wants to destroy Twitter’s rules — that would make it a scary place https://t.co/toVgnFZKfN by @DanielHowley https://t.co/zc5xNJBm60,37
79,2022-04-14 18:34:03+00:00,YahooFinance,"Big banks cautious about credit losses amid war in Ukraine, inflationary pressures https://t.co/9BW2m3l0uq by @bcheungz https://t.co/kRrKsdGgjK",6
80,2022-04-14 18:11:54+00:00,YahooFinance,.@Bitboy_Crypto founder Ben Armstrong joined Yahoo Finance to discuss the current crypto market landscape and how $ETH passing $BTC could lead to new all-time high prices for the rest of the market. https://t.co/ON68JgDbKu,8
81,2022-04-14 17:51:59+00:00,YahooFinance,Twitter stock could crash 20% if board rejects Elon Musk's offer: Analyst https://t.co/waImkkJUvN by @BrianSozzi https://t.co/vncm5axaB0,35
82,2022-04-14 17:20:31+00:00,YahooFinance,Elon Musk is the Twitter board's 'worst nightmare': Analyst https://t.co/XRCgCG0lho by @BrianSozzi https://t.co/412ZgveBGM,19
83,2022-04-14 17:02:30+00:00,YahooFinance,"Brokers using this controversial practice are ‘skimming rent, getting rich’: Michael Lewis https://t.co/U4Wn7la7s9 by @MaxZahn_ with @serwer https://t.co/ZqSGflmQLI",7
84,2022-04-14 17:01:17+00:00,YahooFinance,"2022 is smiling on value investors like Warren Buffett, propelling Berkshire Hathaway stock to record levels. Ahead of the Berkshire shareholder meeting, Bill Smead, CIO of Smead Capital Management, joins Jared Blikre for an investing deep dive. Register: https://t.co/5t2wUVbSe6 https://t.co/tBcmaAmoAi",6
85,2022-04-14 16:48:19+00:00,NASA,"Our first-ever Equity Action Plan establishes key focus areas that will allow us to track progress toward improved diversity, equity, inclusion, and accessibility. Learn more about our commitment to make space accessible to all: https://t.co/tQARrPWxJm https://t.co/FCuE7eazZn",3263
86,2022-04-14 16:41:34+00:00,YahooFinance,Elon Musk could kill Trump’s social media company https://t.co/uAOVgcvQbi by @rickjnewman https://t.co/2stv4FCXNG,24
87,2022-04-14 16:27:37+00:00,YahooFinance,Elon Musk's bid for Twitter probably has Facebook and Google quaking: Mark Cuban https://t.co/1T1a56XZ5s by @BrianSozzi https://t.co/3OqZgriG90,43
88,2022-04-14 16:07:31+00:00,YahooFinance,U.S. mask mandates are making a comeback. But should they? https://t.co/h9B0hZEoot,9
89,2022-04-14 15:55:55+00:00,YahooFinance,"‘The mall is not dead’ amid rise in online shopping, retail expert says https://t.co/JGoMzztUg7 by @thomashumTV https://t.co/UslDFDC3EK",11
90,2022-04-14 15:55:46+00:00,YahooFinance,"Rocco A. Carriero Wealth Partners Founder @RoccoACarriero on what to know about reporting tax gains on meme stock trades:

https://t.co/Jb7k9tf4PH https://t.co/3cH9g7qj48",1
91,2022-04-14 15:48:26+00:00,YahooFinance,"Elon Musk's $TWTR offer is ""serious, but they're not going to accept it,"" Jefferies Equity Research Analyst Brent Thill says, adding: ""What he's saying is actually constructive and good and is going to force positive change... but a lot of this was [already] starting to happen."" https://t.co/oxRQivDiFm",18
92,2022-04-14 15:35:27+00:00,YahooFinance,"JMP Securities' Devin Ryan on bank earnings: ""I think what you saw is the resilience of these business models, and there's a lot of natural hedges. Trading was very strong and now we're moving into likely a higher interest rate cycle."" https://t.co/Jb7k9tf4PH https://t.co/5cjHMg8mRS",7
